編號,語別,詞語,語源,義項,詞類,等級,翻譯,分類,近義詞,反義詞,相關詞,附註
802216,27,azazame,PAN27687,3270192,,B,鳥,07動物(含昆蟲),,,,
802218,27,baa,PAN25147,3270157,,I,肺,06身體部位,,,,
802218,27,baa,,3270230,,S,馬,07動物(含昆蟲),,,,
802228,27,baase,JPN12,3270569,,U,公車,20交通,,,,
802241,27,babalra,,3270533,,I,鬼魂,17宗教,,,,
802258,27,babiyabila ladreke,,3270427,,S,海邊,11自然景觀,,,,
802259,27,baboy,PAN24981,3270201,,U,山豬,07動物(含昆蟲),,,,
802282,27,baeke,,3270178,,S,鼻涕,06身體部位,,,,
802291,27,bakale,,3270520,,U,獵刀,16狩獵,,,,
802305,27,bakisiyo,,3270894,,U,量測,30生活作息,,,,
802308,27,bakway,,3270292,,S,山藥,08植物,,,,
802310,27,balace,,3270279,,S,樹根,08植物,,,,
802318,27,balebale,,3270265,,U,竹子,08植物,,,,
802322,27,bali,,3270293,,U,檜木,08植物,,,,
802329,27,balrako,,3270568,,S,圓形竹簍,19傳統文化與習俗,,,,
802335,27,balre,,3270704,,I,翻動,26肢體動作,,,,
802340,27,balrenga,,3270881,,U,醃漬(祈使),30生活作息,,,,
802347,27,balrilawlaw,,3270429,,B,彩虹,11自然景觀,,,,
802351,27,balrithi,,3270888,,I,替換(衣服),30生活作息,,,,
802353,27,balrotai,,3270646,,U,（物品）翻倒,25行動,,,,
802364,27,bangate,,3270009,數,B,九,01數字計量,,,,
802375,27,baowa,PAN25140,3270957,,I,新的,32特徵,,807590,,
802377,27,barang,PAN31164,3270147,,I,肚子,06身體部位,,,,
802382,27,barasolo,,3270399,,S,瀑布,10山川地理,,,,
802391,27,barici,,3270919,,U,疤,31生老病死傷,,,,
802392,27,baringiyalay,,3270280,,S,野百合,08植物,,,,
802394,27,barobarowa,,3270604,,U,紫色,22顏色,,,,
802395,27,barongolo,,3270390,,I,洞穴,10山川地理,,,,
802403,27,base,,3270587,,I,湯,21食物(非植物),,,,
802405,27,baseng,PAN30264,3270922,,S,打噴嚏,31生老病死傷,,,,
802416,27,batoko,,3270584,,I,蛋,21食物(非植物),,,,
802421,27,bava,,3270581,,S,酒,21食物(非植物),,,,
802428,27,bay,PAN25336,3270635,,I,給,25行動,,,,
802432,27,baza,,3270117,,S,敵人,05人物、身分,,,,
802433,27,bazo,,3270387,,S,湖泊,10山川地理,,,,
802434,27,be’a,,3270740,,S,剝(花生；豆類),26肢體動作,,,,
802453,27,beceng,PAN25250,3270593,,I,小米,21食物(非植物),,,,
802461,27,bekela,,3270044,,S,一點點,01數字計量,,,,
802461,27,bekela,,3270940,,B,少的,32特徵,,807176,,
802463,27,bekelay,,3270038,,U,一些,01數字計量,,,,
802466,27,belebele,PAN29894,3270252,,I,香蕉,08植物,,,,
802468,27,beleng,,3270487,,I,上面,14空間,,803210,,
802471,27,bena,,3270227,,U,土蜂,07動物(含昆蟲),,,,
802477,27,bengelray,,3270260,,U,花朵,08植物,,,,
802483,27,berathe,PAN25334,3270578,,U,白米,21食物(非植物),,,,
802502,27,bethebethe,,3270708,,U,吹,26肢體動作,,,,
802518,27,bibiya,PAN25515,3270185,,I,嘴唇,06身體部位,,,,
802526,27,bicoka,PAN25432,3270163,,I,胃,06身體部位,,,,
802538,27,bilibili,,3270719,,S,拉,26肢體動作,,,,
802538,27,bilibili,,3270779,,S,拉(上來),26肢體動作,,,,
802600,27,bitake,,3270721,,S,扯斷,26肢體動作,,,,
802620,27,biya,PAN25504,3270257,,I,葉子,08植物,,,,
802621,27,bo’a’e,,3270190,,B,羊,07動物(含昆蟲),,,,
802622,27,bobong,,3270600,,U,麵粉,21食物(非植物),,,,
